company_name,aliases,crunchbase_description,wikipedia_search,wikipedia_description,wikipedia_description_link,company_homepage,company_description,company_description_link,retrieval_date
jane street,"jane street capital; jane street group, llc.; jane street group llc",,https://en.wikipedia.org/wiki/Special:Search?search=jane+street,,,https://www.janestreet.com/,Jane Street is a quantitative trading firm with a unique focus on technology and collaborative problem solving.,https://www.janestreet.com,2021-03-15
acacia group llc/the,the acacia group; acacia; acacia group,,https://en.wikipedia.org/wiki/Special:Search?search=acacia+group+llc%2Fthe,,,http://www.acaciagroup.co/,,,2021-03-15
xseed capital,xseed; x/seed capital management; xseed capital management,,https://en.wikipedia.org/wiki/Special:Search?search=xseed+capital,,,https://xseedcap.com/,"XSeed Capital is an early stage investment firm that works with entrepreneurs whose goal is to build category-leading, high growth companies.",https://xseedcap.com,2021-03-15
dahua technology,,,https://en.wikipedia.org/wiki/Special:Search?search=dahua+technology,"Zhejiang Dahua Technology Co., Ltd. is a partially state-owned publicly traded company based in Binjiang District, Hangzhou, which sells video surveillance products and services. It was founded by Fu Liquan (傅利泉).",https://en.wikipedia.org/wiki/Dahua_Technology,,,,2021-03-15
睿思芯科,睿思芯科; rivai.ai; 睿思芯科(深圳)技术有限公司; ruisixinke; riscic; rivai,,https://en.wikipedia.org/wiki/Special:Search?search=%E7%9D%BF%E6%80%9D%E8%8A%AF%E7%A7%91,,,https://www.rivai-ic.com.cn/,"睿思芯科是一家基于RISC-V开源技术，为智联网提供核心处理器的芯片公司。创始团队来自加州伯克利大学RISC-V原创项目组，具备RISC-V和AI芯片领域的深厚学识和卓越研发实力。
睿思芯科的主打产品为基于RISC-V开源指令集的低功耗、高效能的核心处理器芯片，提供自主可控的高效能芯片和SiP（System-in-Package）解决方案，适用于可穿戴设备、智能家居、智能安防、农业、消费电子等多种IoT/AIoT应用场景。
创立以来，睿思芯科获得顶级投资机构背书，客户涵盖国内多家知名企业。目前，睿思芯科在全球有美国硅谷、深圳、成都等多个办公室，中国总部位于深圳。",https://www.rivai-ic.com.cn/about.php?id=5,2021-03-15
yaskawa,,,https://en.wikipedia.org/wiki/Special:Search?search=yaskawa,"The Yaskawa Electric Corporation (株式会社安川電機, Kabushiki-gaisha Yasukawa Denki) (Formerly The Yaskawa Electronic Distributor Association (安川電機電子ディストリビュータ協会, Yasukawadenki denshi disutoribyūta kyōkai)) is a Japanese manufacturer of servos, motion controllers, AC motor drives, switches and industrial robots. Their Motoman robots are heavy duty industrial robots used in welding, packaging, assembly, coating, cutting, material handling and general automation.",https://en.wikipedia.org/wiki/Yaskawa_Electric_Corporation,,,,2021-03-15
maxar technologies,,,https://en.wikipedia.org/wiki/Special:Search?search=maxar+technologies,"Maxar Technologies is a space technology company headquartered in Westminster, Colorado, United States, specializing in manufacturing communication, Earth observation, radar, and on-orbit servicing satellites, satellite products, and related services. DigitalGlobe and MDA Holdings Company merged to become Maxar Technologies on October 5, 2017. Maxar Technologies is the parent holding company of Space Systems Loral, headquartered in Palo Alto, California, US; DigitalGlobe, headquartered in Westminster, Colorado, US; and Radiant Solutions, headquartered in Herndon, Virginia, US. Maxar Technologies is dual-listed on the Toronto Stock Exchange and New York Stock Exchange as MAXR.",https://en.wikipedia.org/wiki/Maxar_Technologies,,,,2021-03-15
nest,nest vc; nest hong kong; nest management limited,,https://en.wikipedia.org/wiki/Special:Search?search=nest,,,https://www.nest.vc/,"We provide our corporate partners; exposure to the startup ecosystem, support to facilitate collaboration and to integrate new ideas and technology into their business.",https://www.nest.vc/corporate-services,2021-03-15
monsanto,,,https://en.wikipedia.org/wiki/Special:Search?search=monsanto,"The Monsanto Company (/mɒnˈsæntoʊ/) was an American agrochemical and agricultural biotechnology corporation founded in 1901. In 2018, it was acquired by Bayer as part of its crop science division. It was headquartered in Creve Coeur, Missouri. Monsanto developed Roundup, a glyphosate-based herbicide, in the 1970s, and became a major producer of genetically engineered crops.",https://en.wikipedia.org/wiki/Monsanto,,,,2021-03-15
southeastern computer consultants inc,"scci; southeastern computer consultants, inc.",,https://en.wikipedia.org/wiki/Special:Search?search=southeastern+computer+consultants+inc,,,https://www.teamscci.com/,"Since 1977, Southeastern Computer Consultants, Inc. (SCCI) has delivered intelligent software, system engineering, and training solutions to serve a range of customers in state and federal government. With offices across the country, including near the metro DC area, and as an approved OASIS, Seaport-e, NAWCTSD, and C5 OTA vendor, SCCI provides the competitive edge you need. Our skilled staff is comprised of more than 25 percent veterans with decades of experience providing expert military training to the US Navy, Army, Air Force, and Marine Corps. Let us use our experience to better serve your needs.",https://www.teamscci.com/about,2021-03-15
acorn growth cos lc,"acorn; acorn growth companies, llc.; acorn growth companies; agc aerospace & defense; agc aerospace and defense; acorn growth companies lc",,https://en.wikipedia.org/wiki/Special:Search?search=acorn+growth+cos+lc,,,https://acorngc.com/,"Acorn Growth Companies is a middle-market private equity firm focused on aerospace, defense and intelligence. Acorn invests in operating companies that strive to enhance global mobility, protect national interests, and develop next-generation intelligence gathering technology. Acorn works in tandem with management to build its portfolio companies into significant market leaders.",https://acorngrowthcompanies.com,2021-03-15
cfm international inc,cfm international; cfm,,https://en.wikipedia.org/wiki/Special:Search?search=cfm+international+inc,,,https://www.cfmaeroengines.com/,"A 50/50 joint company between GE (U.S.A.) and Safran Aircraft Engines (France), we develop, produce and sell the new advanced-technology LEAP engine and the world’s best-selling CFM56 engine.",https://www.cfmaeroengines.com/about/,2021-03-15
safelyyou,"safelyyou, inc; safely you",,https://en.wikipedia.org/wiki/Special:Search?search=safelyyou,,,https://www.safely-you.com/,"SafelyYou has reviewed more than 10,000 fall events across North America. Our services go far beyond fall detection to encourage implementation of best practices for fall prevention from fall huddles after these fall events. Through these fall huddles and the resulting actions for fall prevention, SafelyYou has shown 40% fewer falls in our communities. ",https://www.safely-you.com/,2021-03-15
elemental cognition,ec,,https://en.wikipedia.org/wiki/Special:Search?search=elemental+cognition,,,https://www.elementalcognition.com/,"For decades, science fiction defined the expectations of AI—promising a technology that would deliver a truly intelligent thought partner.",https://ec.ai,2021-03-15
open philanthropy project,open philanthropy,,https://en.wikipedia.org/wiki/Special:Search?search=open+philanthropy+project,"Open Philanthropy (formerly called the Open Philanthropy Project) is a research and grantmaking foundation. It aims to make grants and to share its findings openly. Open Philanthropy identifies outstanding giving opportunities, makes grants, follows the results, and publishes their findings online. Its current chief executive officer is Holden Karnofsky and its main funders are Cari Tuna and Dustin Moskovitz.",https://en.wikipedia.org/wiki/Open_Philanthropy_(organization),https://www.openphilanthropy.org/,,,2021-03-15
lawrence livermore national security llc,"lawrence livermore national security, llc; llns",,https://en.wikipedia.org/wiki/Special:Search?search=lawrence+livermore+national+security+llc,,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory,https://www.llnsllc.com/,(LLNS) offers a team of world-class organizations whose primary objective is to deliver the National Nuclear Security Administration mission for Lawrence Livermore National Laboratory.,,2021-06-24
med data quest,mdq; meddataquest,,https://en.wikipedia.org/wiki/Special:Search?search=med+data+quest,,,http://www.meddataquest.com/,To improve overall population health. We strive to close gaps in patient care to achieve a higher quality and lower cost healthcare market.,https://www.meddataquest.com,2021-03-15
one zero capital,1/0 capital; 1/0 capital llc; 1/0,,https://en.wikipedia.org/wiki/Special:Search?search=one+zero+capital,,,https://www.onezerocapital.com/,1/0 Capital is a privately held partnership that invests in growth-stage companies.,https://www.onezerocapital.com,2021-03-15
vadum inc.,"vadum, inc.; vadum inc",,https://en.wikipedia.org/wiki/Special:Search?search=vadum+inc.,,,http://vaduminc.com/,"The Vadum team applies ground-breaking research and development expertise to current national defense, security, and commercial technology.",https://vaduminc.com,2021-03-15
frontier technology inc,fti; frontier technology inc.; frontier technology incorporation,,https://en.wikipedia.org/wiki/Special:Search?search=frontier+technology+inc,,,https://www.fti-net.com/,"For over 30 years, FTI has been in the business of helping the Department of Defense (DoD) and other government agencies implement informed and wise decisions to solve difficult problems. In that time, FTI has developed numerous Decision Analysis Technologies to support our customers and their missions at all scopes and classifications. We have focused our technologies on customer challenges by providing decision analysis, support services, and agile Sole Source contracting solutions.",https://www.fti-net.com/capabilities/,2021-03-15
black river systems co inc,black river systems; black river; black river systems company; black river systems company inc,,https://en.wikipedia.org/wiki/Special:Search?search=black+river+systems+co+inc,,,https://www.blackriversystems.com/,"Black River Systems designs, develops, deploys and analyzes radar, infrared, acoustic, and electronic warfare sensing systems. Our technical focus has always been on practical engineering solutions related to signal & image processing, object/target tracking, real-time and massively parallel software optimization and deployment, and rapidly developed deployable hardware. Our employee focus is to provide rewarding, challenging, and interesting employment opportunities. Our customer goal is to provide on-time, on-budget solutions to challenges. And our local goal is to be an asset and beneficial member of our communities.",https://www.blackriversystems.com/our-company,2021-03-15
the d. e. shaw group,"d. e. shaw & co.; de shaw co; d. e. shaw & co., l.p.; d.e. shaw",,https://en.wikipedia.org/wiki/Special:Search?search=the+d.+e.+shaw+group,,,https://www.deshaw.com/,"The firm prizes a culture of collaboration across disciplines, geographies, and investment strategies. Experienced leadership and diversely talented minds chart our course. Analytical rigor, an open exploration of ideas, and a relentless pursuit of excellence drive us forward.",https://www.deshaw.com/who-we-are,2021-03-15
united capital investments group inc,united capital investment group limited; united capital investment; united capital investment (uci); uci,,https://en.wikipedia.org/wiki/Special:Search?search=united+capital+investments+group+inc,,,http://www.ucigroup.cn,United Capital Investments Group Inc operates as an investment advisory firm. The Company acquires and develops assets for individuals and institutions.,https://www.bloomberg.com/profile/company/0249685D:US,2021-03-15
bravura information technology systems inc,"bravura information technology systems, inc; bits; bravura; bravura inc.",,https://en.wikipedia.org/wiki/Special:Search?search=bravura+information+technology+systems+inc,,,http://www.bravurainc.com/,"BITS is a Woman-owned, minority owned, small disadvantaged business (WOSB, SDB) with a wealth of DoD, Army, and Intel community experience. We are headquartered in Aberdeen, Maryland, in close proximity to the U.S. Army’s Aberdeen Proving Grounds. With over 30 years of experience, BITS employs a highly skilled leadership team of proven and experienced personnel. Our professionals are ready to provide quality driven, customer focused, schedule determined, risk mitigative, and cost restrained solutions to help our clients gain maximum value for mission success.",http://www.bravurainc.com/about.html,2021-03-15
national aerospace solutions llc,nas; national aerospace solutions,,https://en.wikipedia.org/wiki/Special:Search?search=national+aerospace+solutions+llc,,,https://nas-llc.us/,"NAS is the Test Operations and Sustainment contractor at Arnold Engineering Development Complex at Arnold Air Force Base in Tennessee with remote operating locations in Maryland and California. NAS employs more than 1500 highly skilled engineers, crafts persons, safety, industrial security, human resources, project managers and finance personnel, just to name a few career fields. It takes everyone to make the mission successful.",https://nas-llc.us/,2021-03-15
advanced alliant solutions team llc,advanced alliant solutions team; advanced alliant solutions team (aast); aast,,https://en.wikipedia.org/wiki/Special:Search?search=advanced+alliant+solutions+team+llc,,,http://www.advancedalliant.com/,"Advanced Alliant Solutions Team (AAST), a joint venture led by Technical and Management Resources,Inc., is a contract holder on the GSA Alliant Small Business Contract. GSA Alliant is a Government Wide Acquisition Contract (GWAC), with a 5-year base and one 5-year option - that will provide the Federal Government with integrated Information Technology (IT) solutions. AAST is an eleven member team of specialized Information Technology firms whose core competencies collectively cover all of the functional areas of the Alliant contract, including: Infrastructure and related services, Applications and related services, and IT Management Services - that will support agencies' integrated IT solutions requirements.",http://www.advancedalliant.com/,2021-03-15
allen institute for artificial intelligence,ai2,,https://en.wikipedia.org/wiki/Special:Search?search=allen+institute+for+artificial+intelligence,"The Allen Institute for AI (abbreviated AI2) is a research institute founded by late Microsoft co-founder Paul Allen. The institute seeks to achieve scientific breakthroughs by constructing AI systems with reasoning, learning, and reading capabilities.[1] Oren Etzioni was appointed by Paul Allen in September 2013 to direct the research at the institute.",https://en.wikipedia.org/wiki/Special:Search?search=allen+institute+for+artificial+intelligence,http://allenai.org/,,,2021-03-15
russell investments,frank russell company; russell investments ltd,,https://en.wikipedia.org/wiki/Special:Search?search=russell+investments,"Russell Investments is an investment firm headquartered in Seattle, Washington.",https://en.wikipedia.org/wiki/Special:Search?search=russell+investments,https://russellinvestments.com/us/,,,2021-03-15
intellectual ventures laboratory,intellectual ventures; iv lab,,https://en.wikipedia.org/wiki/Special:Search?search=intellectual+ventures+laboratory,,,https://www.intellectualventures.com/what-we-do/iv-lab/,"As the global leader in the business of invention, we’re proud to foster a culture that prizes bold ideas and relentless curiosity. We are disruptors and builders, thinkers and doers. We experiment. We research. We invent and reinvent, tinker and tweak, probe and prove. Always evolving, never complacent, we can’t stop the pursuit of discovery. Because when you’re solving some of the world’s biggest challenges, you can’t wait for the next big thing. You have to imagine and create those solutions, every day. That’s what powers us—the boundless energy and impact of invention.",https://www.intellectualventures.com/who-we-are,2021-03-15
guangzhou automobile industry group,,,https://en.wikipedia.org/wiki/Special:Search?search=guangzhou+automobile+industry+group,"Guangzhou Automobile Industry Group Co Ltd (GAIG, Chinese: 广州汽车工业集团)[1] is a Chinese state-owned joint stock[citation needed] holding company that owns several Chinese automakers.",https://en.wikipedia.org/wiki/Special:Search?search=guangzhou+automobile+industry+group,,,,2021-03-15
sca-shipping consultants associated ltd,sca; s.c.a.; shipping consultants associated ltd; s.c.a.-shipping consultants assocaited ltd; sca shipping consultants associated ltd,,https://en.wikipedia.org/wiki/Special:Search?search=sca-shipping+consultants+associated+ltd,,,http://www.sca-ltd.co.uk/,"A global presence assuring an integrated service platform for port services, logistics and supplies professionally managed and executed to the benefit of modern military forces.",http://www.sca-ltd.co.uk/,2021-03-15
inceptio,"inceptio technology; 嬴彻科技; jiluo technology (shangai) co., ltd.",,https://en.wikipedia.org/wiki/Special:Search?search=inceptio,,,https://www.inceptio.ai/,"We focus on the transformation of line-haul logistics by providing a more secure, efficient, and economical Transportation-As-A-Service (TaaS) to logistic customers.",https://www.inceptio.ai/,2021-03-15
dascena,"dascena, inc.",,https://en.wikipedia.org/wiki/Special:Search?search=dascena,,,https://www.dascena.com/,"Our mission is to build the next generation of precision medicine.
It’s time for reality to catch up to the promise of machine learning in medicine. This means fully integrating molecular and clinical data for improved patient outcomes - in clinical trials and at the bedside. We are building the engineering layer to enact algorithms into clinical practice.",https://www.dascena.com/,2021-03-15
mosaic building group,mosaic; mosaic building; mosaic building group inc.,,https://en.wikipedia.org/wiki/Special:Search?search=mosaic+building+group,,,https://mosaic.us/,"Mosaic is a construction technology company. We use our software as a general contractor to manage construction on behalf of homebuilders, enabling them to build more homes more efficiently.",https://mosaic.us/,2021-03-15
vca,"beijing video connect anything technology co., ltd; beijing vision technology co., ltd.; 北京视连通科技有限公司; 视连通; beijing visual communication technology co., ltd.; vision connect; shiliantong",,https://en.wikipedia.org/wiki/Special:Search?search=vca,,,http://www.bjvca.com/,"视连通科技是一家提供视频AI技术及视频智能运营服务的高科技公司。
基于自研的“内容场景AI SaaS平台“链接视频产业上下游，为视频平台和视频运营商提供视频智能识别引擎、视频内容智能生产、内容数据深度分析等技术产品和解决方案，并为视频行业提供多样化的智能运营增值服务。",http://www.bjvca.com/about.html,2021-03-15
truist financial,truist financial corporation; truist; truist financial corp,,https://en.wikipedia.org/wiki/Special:Search?search=truist+financial,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North Carolina.[2] The company was formed in December 2019 as the result of the merger of BB&T (Branch Banking and Trust Company) and SunTrust Banks.[3][4] Its bank operates 2,049 branches in 15 states and Washington, D.C., and offers consumer and commercial banking, securities brokerage, asset management, mortgage, and insurance products and services.[1] It is on the list of largest banks in the United States by assets. Its subsidiary, McGriff Insurance Services (formerly known as BB&T Insurance Services),[5][6] was one of the largest insurance brokers in the world.[7] In its history, it has made 106 mergers and acquisitions. Since it took over Southern National Bank in 1995, it has made 43 deals.",https://en.wikipedia.org/wiki/Special:Search?search=truist+financial,https://www.thepremierfinancialinstitution.com/,,,2021-03-15
globe life inc.,globe life inc; globe life; globe life and accident insurance; globe life insurance,,https://en.wikipedia.org/wiki/Special:Search?search=globe+life+inc.,,,https://investors.globelifeinsurance.com/,"No matter what tomorrow brings, you have protection when you need it most. Globe Life Inc. (NYSE: GL) has helped protect this promise since our roots began in 1900. That’s why more people choose life insurance from Globe Life than any other insurance provider, according to S&P Global Market Intelligence. Together, we work to Make Tomorrow Better.",https://investors.globelifeinsurance.com/,2021-03-15
healthpeak properties,"healthpeak properties, inc.",,https://en.wikipedia.org/wiki/Special:Search?search=healthpeak+properties,"Healthpeak Properties, Inc. is a real estate investment trust that invests in real estate related to the healthcare industry including senior housing, life science, and medical offices. It is organized in Maryland and headquartered in Denver, Colorado with offices in Nashville and San Francisco. As of December 31, 2019, the company owned interests in 617 properties.",https://en.wikipedia.org/wiki/Special:Search?search=healthpeak+properties,https://www.healthpeak.com/,,,2021-03-15
newmont corporation,newmont mining corporation; newmont mining; newmont goldcorp; newmont,,https://en.wikipedia.org/wiki/Special:Search?search=newmont+corporation,"Newmont Corporation, based in Greenwood Village, Colorado, United States, is the world's largest gold mining company.[3] Incorporated in 1921, it has ownership of gold mines in Nevada, Colorado, Ontario, Quebec, Mexico, the Dominican Republic, Australia, Ghana, Argentina, Peru, and Suriname.[4] In addition to gold, Newmont mines copper, silver, zinc and lead.",https://en.wikipedia.org/wiki/Newmont_Corporation,https://www.newmontgoldcorp.com/,,,2021-03-15
signature aviation plc,signature aviation; signature aviation plc,,https://en.wikipedia.org/wiki/Special:Search?search=signature+aviation+plc,"Signature Aviation plc is a British multinational aviation services company headquartered in London, United Kingdom and listed on the London Stock Exchange.",https://en.wikipedia.org/wiki/Signature_Aviation,https://www.signatureaviation.com/,,,2021-03-15
eneos holdings inc,"eneos holdings, inc.; eneos",,https://en.wikipedia.org/wiki/Special:Search?search=eneos+holdings+inc,"ENEOS Holdings, Inc. (ENEOSホールディングス株式会社) is a Japanese petroleum and metals conglomerate headquartered in Tokyo, Japan. In 2012 the multinational corporation consisted of 24,691 employees worldwide and, as of March 2013, JX Holdings was the forty third largest company in the world by revenue. It is one of the core companies of the Mitsubishi Group through its predecessor (the original Nippon Oil Corporation)'s merger with Mitsubishi Oil.",https://en.wikipedia.org/wiki/Eneos_Holdings,https://www.hd.eneos.co.jp/english/,,,2021-03-15
svb financial,svb financial group; silicon valley bank; svb,,https://en.wikipedia.org/wiki/Special:Search?search=svb+financial,"Silicon Valley Bank, a subsidiary of SVB Financial Group, is a U.S.-based high-tech commercial bank. The bank has helped fund more than 30,000 start-ups.[2] SVB is on the list of largest banks in the United States.",https://en.wikipedia.org/wiki/Silicon_Valley_Bank,https://www.svb.com/,,,2021-03-15
mgm resorts international,"mgm mirage
; mgm resorts",,https://en.wikipedia.org/wiki/Special:Search?search=mgm+resorts+international,"MGM Resorts International is an American global hospitality and entertainment company operating destination resorts in Las Vegas, Massachusetts, Detroit, Mississippi, Maryland, and New Jersey, including Bellagio, Mandalay Bay, MGM Grand, and Park MGM. In January 2019 the company took over Empire City Casino in Yonkers, New York, and also opened MGM National Harbor in Maryland and MGM Springfield in Massachusetts. The company has a majority interest in MGM China Holdings Limited, which owns the MGM Macau resort and casino, and is developing a gaming resort in Cotai. MGM Resorts owns 50 percent of CityCenter in Las Vegas, which features Aria Resort & Casino. It has a majority controlling interest in MGM Growth Properties, a real estate investment trust.",https://en.wikipedia.org/wiki/MGM_Resorts_International,https://www.mgmresorts.com/,,,2021-03-15
pci,"pci-suntek technology; 佳都; 佳都科技; jiadu suntektech co., ltd.; jiadu technology; 佳都新太科技股份有限公司",,https://en.wikipedia.org/wiki/Special:Search?search=pci,,,pcitech.com,"PCITECH is a professional provider of artificial intelligence technology and products in China,providing face recognition, structured, knowledge graph and intelligent big data technology and services to the world.",pcitech.com,2021-03-15
howmet aerospace,howmet corp.; arconic inc; howmet aerospace inc.,,https://en.wikipedia.org/wiki/Special:Search?search=howmet+aerospace,"Howmet Aerospace Inc., (formerly Arconic Inc.)[2][3] is an American aerospace company based in Pittsburgh, Pennsylvania. The company manufactures components for jet engines, fasteners and titanium structures for aerospace applications, and forged aluminum wheels for heavy trucks.",https://en.wikipedia.org/wiki/Howmet_Aerospace,https://www.howmet.com/,,,2021-03-15
m&t bank corp.,m&t bank corp; m&t bank; manufacturers and traders trust company; manufacturers and traders bank; m&t bank corporation; first empire state corporation,,https://en.wikipedia.org/wiki/Special:Search?search=m%26t+bank+corp.,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York. It operates 780 branches in New York, New Jersey, Pennsylvania, Maryland, Delaware, Virginia, West Virginia, Washington, D.C., and Connecticut. M&T is ranked 462nd on the Fortune 500.[1] Until May 1998, it was named First Empire State Corporation.",https://en.wikipedia.org/wiki/M%26T_Bank,https://www.mtb.com/,,,2021-03-15
mcdonald's corp.,mcdonald's corp; mcdonald's corporation; mcdonald's,,https://en.wikipedia.org/wiki/Special:Search?search=mcdonald%27s+corp.,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona. In 1955, Ray Kroc, a businessman, joined the company as a franchise agent and proceeded to purchase the chain from the McDonald brothers. McDonald's had its previous headquarters in Oak Brook, Illinois, but moved its global headquarters to Chicago in June 2018.",https://en.wikipedia.org/wiki/McDonald%27s,https://www.mcdonalds.com/us/en-us.html,,,2021-03-15
aerojet rocketdyne holdings inc,"aerojet rocketdyne holdings; aerojet rocketdyne holdings, inc.; gencorp, inc.; gencorp inc",,https://en.wikipedia.org/wiki/Special:Search?search=aerojet+rocketdyne+holdings+inc,"Aerojet Rocketdyne Holdings, Inc., formerly GenCorp, Inc., is an American technology-based manufacturer based in El Segundo, California. Established in 1915, it was formerly known as the General Tire and Rubber Company, becoming GenCorp in 1984, and adopting its current name in April 2015.[2] On December 20, 2020, it was announced Aerojet Rocketdyne Holdings, Inc. would be acquired by Lockheed Martin for $4.4 billion.",https://en.wikipedia.org/wiki/Aerojet_Rocketdyne_Holdings,https://www.aerojetrocketdyne.com/,,,2021-03-15
ultra electronics,ultra electronics holdings; ultra,,https://en.wikipedia.org/wiki/Special:Search?search=ultra+electronics,"Ultra Electronics Holdings (LSE: ULE) is a British company serving the defence, security, critical detection & control markets. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index.",https://en.wikipedia.org/wiki/Ultra_Electronics,https://www.ultra.group/,,,2021-03-15
